"","destination_place","distance","time","n"
"1","Central area",6.76396224325413,33.2481121627064,9932
"2","Chicago (excl. CBD)",4.86263636821432,27.5685726994998,19858
"3","DuPage",7.02683133712939,19.8337151209721,15279
"4","Kane",7.79161887511916,20.1512710517954,5245
"5","Kendall",5.97413503043719,16.7495849474267,3614
"6","Lake",7.32967423456149,20.2650060543159,7708
"7","McHenry",8.02251002987623,20.4406174420259,2343
"8","Suburban Cook",6.57789774774775,21.4432440774107,19980
"9","Will",6.92756119536128,18.9993398751115,11210
