"","destination_place","distance","time","n"
"1","Central area",13.063310788609,56.282233479372,3652
"2","Chicago (excl. CBD)",10.8160936555891,43.6240433031219,1986
"3","DuPage",15.1159451371571,34.8733416458853,2005
"4","Kane",13.7823099824869,32.1844716870987,571
"5","Kendall",9.25818852459016,21.1957650273224,244
"6","Lake",15.6520945945946,36.0920983483484,888
"7","McHenry",10.2776960784314,23.7283496732026,204
"8","Suburban Cook",15.6576512378902,38.6736813778256,2787
"9","Will",12.0493047426842,26.4959973091154,991
