"","destination","trips","n","driver","passenger","transit","walk","schoolbus","bike","other"
"1","Central area",2068673.7643,9932,0.2421,0.0826,0.2906,0.3156,0.0041,0.0245,0.0405
"2","Chicago (excl. CBD)",6103037.0049,19858,0.4484,0.1532,0.142,0.1962,0.007,0.0222,0.031
"3","DuPage",3558107.2205,15279,0.7406,0.1654,0.0147,0.0446,0.0243,0.0045,0.0059
"4","Kane",1649763.454,5245,0.7035,0.2049,0.0084,0.0349,0.0343,0.0095,0.0044
"5","Kendall",661021.9496,3614,0.6443,0.2519,0.004,0.0298,0.0639,0.0042,0.0019
"6","Lake",2533954.6222,7708,0.7053,0.1818,0.0159,0.0352,0.0517,0.005,0.005
"7","McHenry",581400.6276,2343,0.7293,0.2076,0.0069,0.0193,0.0332,0.001,0.0027
"8","Suburban Cook",7877354.6227,19980,0.6693,0.1799,0.0261,0.083,0.0251,0.0092,0.0073
"9","Will",2116673.1552,11210,0.7202,0.191,0.0067,0.0205,0.0574,0.0019,0.0023
